run,bottleneck_width_m,n_pedestrians,n_frames,first_frame,last_frame,mean_speed_mps,median_speed_mps,std_speed_mps,p10_speed_mps,p90_speed_mps,duration_s,mean_nn_spacing_m,median_nn_spacing_m,p10_nn_spacing_m,mean_flow_p_per_s,max_flow_p_per_s,line_y_m
ao-240-400,2.4,352,1100,29,1128,0.4581069275693341,0.30347537873081865,0.38566210154188063,0.1206557335539499,1.1082266477021783,68.6875,0.4288407946413285,0.3902356959697564,0.2821354273641651,2.75,7.0,-6.019550000000001
ao-300-400,3.0,348,959,0,958,0.505935237652724,0.3566004105437977,0.3805405344351468,0.14204201293520025,1.094345488586586,59.875,0.43852504432662825,0.4037252169211133,0.2911269576321468,3.107142857142857,7.0,-6.022220000000001
ao-360-400,3.6,350,808,14,821,0.5869766866779054,0.4437236473301816,0.3937294935969797,0.18739513891108145,1.1710331829574483,50.4375,0.4470625835951425,0.41588356594898057,0.3020887354735358,3.888888888888889,8.0,-6.015665
ao-440-400,4.4,350,720,0,719,0.6500288747715907,0.5498964207921319,0.3971551173909607,0.21809314707098318,1.1805407211493142,44.9375,0.4583626305614535,0.43307711022403406,0.3137953307862218,4.375,9.0,-6.002000000000001
ao-500-400,5.0,348,605,1210,1814,0.7419205168346219,0.6450503335399496,0.4275026370770553,0.28406196507100495,1.3055270423733074,37.75,0.4543204478667653,0.4292767817911889,0.31271958684099077,5.117647058823529,8.0,-5.99604
