video_id,ped_id,frame,time_s,x_px,y_px,visibility,notes,x_m,y_m
teams_video,P01,150,5.0,73.0,943.0,tracked,P1; LK optical flow; initial coords.py click,2.4010422229766846,0.8210298418998718
teams_video,P02,150,5.0,340.0,584.0,tracked,P2; LK optical flow; initial coords.py click,15.558036804199219,35.17066955566406
teams_video,P03,150,5.0,343.0,482.0,tracked,P3; LK optical flow; initial coords.py click,16.569265365600586,52.01960754394531
teams_video,P04,150,5.0,205.0,600.0,tracked,P4; LK optical flow; initial coords.py click,6.986343860626221,33.1463623046875
teams_video,P05,150,5.0,143.0,459.0,tracked,P5; LK optical flow; initial coords.py click,1.3202379941940308,57.17864990234375
teams_video,P06,150,5.0,295.0,466.0,tracked,P6; LK optical flow; initial coords.py click,13.075221061706543,55.300567626953125
teams_video,P07,150,5.0,283.0,439.0,tracked,P7; LK optical flow; initial coords.py click,12.230971336364746,61.05051803588867
teams_video,P08,150,5.0,399.0,440.0,tracked,P8; LK optical flow; initial coords.py click,21.408496856689453,60.46125411987305
teams_video,P09,150,5.0,451.0,548.0,tracked,P9; LK optical flow; initial coords.py click,23.218992233276367,40.348793029785156
teams_video,P10,150,5.0,429.0,517.0,tracked,P10; LK optical flow; initial coords.py click,22.267074584960938,45.47000503540039
teams_video,P01,165,5.5,89.83070373535156,915.0723876953125,tracked,P1; LK optical flow; sampled tracked point,2.9364407062530518,2.6791577339172363
teams_video,P02,165,5.5,338.3065185546875,591.1876831054688,tracked,P2; LK optical flow; sampled tracked point,15.403587341308594,34.1593017578125
teams_video,P03,165,5.5,342.9649353027344,481.25885009765625,tracked,P3; LK optical flow; sampled tracked point,16.573589324951172,52.161930084228516
teams_video,P04,165,5.5,208.9344482421875,593.1135864257812,tracked,P4; LK optical flow; sampled tracked point,7.202881813049316,34.09513473510742
teams_video,P05,165,5.5,153.9730682373047,458.2772521972656,tracked,P5; LK optical flow; sampled tracked point,2.166076183319092,57.297462463378906
teams_video,P06,165,5.5,295.36614990234375,468.09051513671875,tracked,P6; LK optical flow; sampled tracked point,13.094778060913086,54.87800979614258
teams_video,P07,165,5.5,285.44769287109375,436.67095947265625,tracked,P7; LK optical flow; sampled tracked point,12.433094024658203,61.56016159057617
teams_video,P08,165,5.5,399.8710021972656,440.4187927246094,tracked,P8; LK optical flow; sampled tracked point,21.469457626342773,60.366920471191406
teams_video,P09,165,5.5,451.20269775390625,551.8463745117188,tracked,P9; LK optical flow; sampled tracked point,23.164165496826172,39.7498893737793
teams_video,P10,165,5.5,431.4936828613281,519.6876220703125,tracked,P10; LK optical flow; sampled tracked point,22.393768310546875,45.00581741333008
teams_video,P01,180,6.0,106.135009765625,886.7183227539062,tracked,P1; LK optical flow; sampled tracked point,3.4731855392456055,4.666839599609375
teams_video,P02,180,6.0,337.34271240234375,598.2958984375,tracked,P2; LK optical flow; sampled tracked point,15.298213958740234,33.17688751220703
teams_video,P03,180,6.0,343.0921325683594,480.3179626464844,tracked,P3; LK optical flow; sampled tracked point,16.591821670532227,52.3426399230957
teams_video,P04,180,6.0,210.6141815185547,585.9527587890625,tracked,P4; LK optical flow; sampled tracked point,7.277472496032715,35.104164123535156
teams_video,P05,180,6.0,165.046142578125,457.47119140625,tracked,P5; LK optical flow; sampled tracked point,3.0198757648468018,57.433624267578125
teams_video,P06,180,6.0,295.0557556152344,470.133056640625,tracked,P6; LK optical flow; sampled tracked point,13.063225746154785,54.46974182128906
teams_video,P07,180,6.0,288.45843505859375,434.5362243652344,tracked,P7; LK optical flow; sampled tracked point,12.681296348571777,62.02821731567383
teams_video,P08,180,6.0,400.897216796875,440.56390380859375,tracked,P8; LK optical flow; sampled tracked point,21.547531127929688,60.33198547363281
teams_video,P09,180,6.0,454.3363952636719,556.1607666015625,tracked,P9; LK optical flow; sampled tracked point,23.2943172454834,39.0804557800293
teams_video,P10,180,6.0,433.0135192871094,522.3060302734375,tracked,P10; LK optical flow; sampled tracked point,22.453401565551758,44.55915832519531
teams_video,P01,195,6.5,119.56275939941406,861.399169921875,tracked,P1; LK optical flow; sampled tracked point,3.9244344234466553,6.535086631774902
teams_video,P02,195,6.5,336.1295166015625,604.88134765625,tracked,P2; LK optical flow; sampled tracked point,15.182474136352539,32.28354263305664
teams_video,P03,195,6.5,343.8730163574219,478.9410400390625,tracked,P3; LK optical flow; sampled tracked point,16.662776947021484,52.60648727416992
teams_video,P04,195,6.5,214.28639221191406,579.2321166992188,tracked,P4; LK optical flow; sampled tracked point,7.484553337097168,36.06550216674805
teams_video,P05,195,6.5,176.47299194335938,456.5370178222656,tracked,P5; LK optical flow; sampled tracked point,3.9013257026672363,57.59589767456055
teams_video,P06,195,6.5,293.6822814941406,471.73651123046875,tracked,P6; LK optical flow; sampled tracked point,12.953361511230469,54.154197692871094
teams_video,P07,195,6.5,291.7228088378906,432.4129638671875,tracked,P7; LK optical flow; sampled tracked point,12.951614379882812,62.49612045288086
teams_video,P08,195,6.5,401.8718566894531,439.5673828125,tracked,P8; LK optical flow; sampled tracked point,21.642553329467773,60.54690933227539
teams_video,P09,195,6.5,456.10931396484375,560.4313354492188,tracked,P9; LK optical flow; sampled tracked point,23.334808349609375,38.428287506103516
teams_video,P10,195,6.5,435.1191711425781,524.2511596679688,tracked,P10; LK optical flow; sampled tracked point,22.564640045166016,44.22752380371094
teams_video,P01,210,7.0,136.41146850585938,839.1359252929688,tracked,P1; LK optical flow; sampled tracked point,4.581878185272217,8.25328254699707
teams_video,P02,210,7.0,336.510009765625,610.6397705078125,tracked,P2; LK optical flow; sampled tracked point,15.171642303466797,31.512826919555664
teams_video,P03,210,7.0,344.714599609375,477.66839599609375,tracked,P3; LK optical flow; sampled tracked point,16.737546920776367,52.85103988647461
teams_video,P04,210,7.0,216.38771057128906,572.1895751953125,tracked,P4; LK optical flow; sampled tracked point,7.5913987159729,37.09479904174805
teams_video,P05,210,7.0,187.56764221191406,455.44476318359375,tracked,P5; LK optical flow; sampled tracked point,4.757107734680176,57.79283142089844
