point_id,x_px,y_px,x_m,y_m,notes
P1,73,943,,,selected using coords.py; fill x_m/y_m manually
P2,340,584,,,selected using coords.py; fill x_m/y_m manually
P3,343,482,,,selected using coords.py; fill x_m/y_m manually
P4,205,600,,,selected using coords.py; fill x_m/y_m manually
P5,143,459,,,selected using coords.py; fill x_m/y_m manually
P6,295,466,,,selected using coords.py; fill x_m/y_m manually
P7,283,439,,,selected using coords.py; fill x_m/y_m manually
P8,399,440,,,selected using coords.py; fill x_m/y_m manually
P9,451,548,,,selected using coords.py; fill x_m/y_m manually
P10,429,517,,,selected using coords.py; fill x_m/y_m manually
